Course,Prereq1,Prereq2,Prereq3
CSCI 100,,,
MATH 105,,,
MATH 110,MATH 105,,
MATH 115,MATH 110,,
MATH 120,MATH 110,,
MATH 125,MATH 115,MATH 120,
MATH 211,MATH 120,,
MATH 212,MATH 125,,
MATH 215,MATH 115,,
MATH 221,MATH 120,CSCI 100,
MATH 227,MATH 211,MATH 212,
MATH 329,MATH 211,MATH 229,
MATH 334,MATH 211,MATH 215,
MATH 223,MATH 115,,
MATH 229,MATH 120,,
MATH 327,MATH 125,MATH 211,CSCI 110
MATH 332,MATH 211,MATH 215,
