Course,F 2024,S 2024,F 2023,S 2023,F 2022,S 2022,F 2021,S 2021
CSCI 100,1,1,1,1,1,1,1,1
MATH 105,1,1,1,1,1,1,1,1
MATH 110,1,1,1,1,1,1,1,1
MATH 115,1,1,1,1,1,1,1,1
MATH 120,1,1,1,1,1,1,1,1
MATH 125,1,1,1,1,1,1,1,1
MATH 211,1,1,1,1,1,1,1,1
MATH 212,1,1,1,1,1,1,1,1
MATH 215,1,1,1,1,1,1,1,1
MATH 221,1,0,1,0,1,0,1,0
MATH 227,1,0,1,0,1,0,1,0
MATH 329,0,0,1,0,0,0,1,0
MATH 334,1,0,1,0,1,0,1,0
MATH 223,0,0,0,1,0,0,0,1
MATH 229,0,1,0,1,0,1,0,1
MATH 327,0,1,0,0,0,1,0,0
MATH 332,0,1,0,1,0,1,0,1
